metric,value
mode,local
n,218
top1_accuracy,0.7155963302752294
top3_accuracy,0.7798165137614679
top5_accuracy,0.7798165137614679
mrr,0.746177370030581
recall_at_gt,0.713302752293578
recall_at_gt_n,218
abstention_count,13
abstention_total,218
abstention_rate,0.05963302752293578
grounding_rate,1.0
hallucination_rate,0.07804878048780488
validation_coverage,1.0
unresolved_validation_count,0
unresolved_validation_rate,0.0
valid_code_count,189
invalid_code_count,16
roc_auc,0.8084772370486656
roc_auc_status,OK
brier_score,0.20776975609756096
ece,0.20214634146341465
rank_sum_test_name,scipy.stats.ranksums (Wilcoxon rank-sum test)
rank_sum_statistic,6.509392727976564
rank_sum_p_value,7.545521601131188e-11
cohens_d,0.6409390835852365
execution_error_count,0
execution_error_rate,0.0
mapped_count,205
unmapped_count,13
mean_end_to_end_seconds,5.11087458180755
median_end_to_end_seconds,4.8130375829932746
mean_llm_seconds,4.765082457575972
median_llm_seconds,4.493976208017557
total_api_cost_usd,0.17535928
mean_api_cost_per_row_usd,0.0008044003669724771
