metric,value
mode,public
n,218
top1_accuracy,0.6467889908256881
top3_accuracy,0.7385321100917431
top5_accuracy,0.7385321100917431
mrr,0.691131498470948
recall_at_gt,0.6467889908256881
recall_at_gt_n,218
abstention_count,43
abstention_total,218
abstention_rate,0.19724770642201836
grounding_rate,1.0
hallucination_rate,0.04
validation_coverage,1.0
unresolved_validation_count,0
unresolved_validation_rate,0.0
valid_code_count,168
invalid_code_count,7
roc_auc,0.8966416353775553
roc_auc_status,OK
brier_score,0.146596
ece,0.14942857142857147
rank_sum_test_name,scipy.stats.ranksums (Wilcoxon rank-sum test)
rank_sum_statistic,7.171031067317853
rank_sum_p_value,7.443500835630682e-13
cohens_d,1.9558190218056155
execution_error_count,0
execution_error_rate,0.0
mapped_count,175
unmapped_count,43
mean_end_to_end_seconds,7.180971685995563
median_end_to_end_seconds,7.120623604503635
mean_llm_seconds,5.7503180176735516
median_llm_seconds,5.656255583999155
total_api_cost_usd,0.2713802
mean_api_cost_per_row_usd,0.0012448633027522936
