mode,bin_lower,bin_upper,count,mean_confidence,empirical_accuracy,calibration_gap
disabled,0.0,0.1,0,,,
disabled,0.1,0.2,0,,,
disabled,0.2,0.3,0,,,
disabled,0.3,0.4,0,,,
disabled,0.4,0.5,1,0.45,1.0,0.55
disabled,0.5,0.6,12,0.5458333333333334,0.3333333333333333,0.21250000000000008
disabled,0.6,0.7,12,0.645,0.5,0.14500000000000002
disabled,0.7,0.8,25,0.7468,0.48,0.26680000000000004
disabled,0.8,0.9,60,0.85,0.5666666666666667,0.2833333333333333
disabled,0.9,1.0,47,0.9276595744680851,0.9361702127659575,0.008510638297872353
