metric,value
mode,disabled
n,218
top1_accuracy,0.463302752293578
top3_accuracy,0.46788990825688076
top5_accuracy,0.46788990825688076
mrr,0.46559633027522934
recall_at_gt,0.45871559633027525
recall_at_gt_n,218
abstention_count,58
abstention_total,218
abstention_rate,0.26605504587155965
grounding_rate,0.0
hallucination_rate,0.07006369426751592
validation_coverage,1.0
unresolved_validation_count,0
unresolved_validation_rate,0.0
valid_code_count,146
invalid_code_count,11
roc_auc,0.7196782178217822
roc_auc_status,OK
brier_score,0.2388095541401274
ece,0.18414012738853505
rank_sum_test_name,scipy.stats.ranksums (Wilcoxon rank-sum test)
rank_sum_statistic,4.553064226029176
rank_sum_p_value,5.287012336044019e-06
cohens_d,0.6562098707692138
execution_error_count,3
execution_error_rate,0.013761467889908258
mapped_count,157
unmapped_count,58
mean_end_to_end_seconds,6.411333599958728
median_end_to_end_seconds,5.677237833500158
mean_llm_seconds,2.609720055666609
median_llm_seconds,2.365928916999792
total_api_cost_usd,0.0010036399999999999
mean_api_cost_per_row_usd,0.0003345466666666666
