metric,value
mode,disabled
n,218
top1_accuracy,0.4908256880733945
top3_accuracy,0.4908256880733945
top5_accuracy,0.4908256880733945
mrr,0.4908256880733945
recall_at_gt,0.4908256880733945
recall_at_gt_n,218
abstention_count,62
abstention_total,218
abstention_rate,0.28440366972477066
grounding_rate,0.0
hallucination_rate,0.055944055944055944
validation_coverage,1.0
unresolved_validation_count,0
unresolved_validation_rate,0.0
valid_code_count,135
invalid_code_count,8
roc_auc,0.6403167185877466
roc_auc_status,OK
brier_score,0.18872797202797204
ece,0.097972027972028
rank_sum_test_name,scipy.stats.ranksums (Wilcoxon rank-sum test)
rank_sum_statistic,2.513980681387539
rank_sum_p_value,0.01193769729240382
cohens_d,0.39564912003256314
execution_error_count,13
execution_error_rate,0.05963302752293578
mapped_count,143
unmapped_count,62
mean_end_to_end_seconds,5.567366404060772
median_end_to_end_seconds,5.199592188000679
mean_llm_seconds,2.272630634534065
median_llm_seconds,2.3518706250179093
total_api_cost_usd,0.0030791399999999997
mean_api_cost_per_row_usd,0.00023685692307692305
