metric,value
mode,public
n,10
top1_accuracy,0.6
top3_accuracy,0.6
top5_accuracy,0.6
mrr,0.6
recall_at_gt,0.6
recall_at_gt_n,10
abstention_count,3
abstention_total,10
abstention_rate,0.3
grounding_rate,1.0
hallucination_rate,0.0
validation_coverage,1.0
unresolved_validation_count,0
unresolved_validation_rate,0.0
valid_code_count,7
invalid_code_count,0
roc_auc,0.8333333333333334
roc_auc_status,OK
brier_score,0.12907142857142856
ece,0.14999999999999994
rank_sum_test_name,scipy.stats.ranksums (Wilcoxon rank-sum test)
rank_sum_statistic,1.0
rank_sum_p_value,0.31731050786291415
cohens_d,
execution_error_count,0
execution_error_rate,0.0
mapped_count,7
unmapped_count,3
mean_end_to_end_seconds,5.945662133398582
median_end_to_end_seconds,5.584765375009738
mean_llm_seconds,4.377256341703469
median_llm_seconds,4.343817353495979
total_api_cost_usd,0.0084106
mean_api_cost_per_row_usd,0.00084106
