mode,bin_lower,bin_upper,count,mean_confidence,empirical_accuracy,calibration_gap
disabled,0.0,0.1,0,,,
disabled,0.1,0.2,0,,,
disabled,0.2,0.3,0,,,
disabled,0.3,0.4,0,,,
disabled,0.4,0.5,2,0.45,0.5,0.04999999999999999
disabled,0.5,0.6,14,0.5521428571428572,0.7857142857142857,0.23357142857142854
disabled,0.6,0.7,8,0.63625,0.625,0.011249999999999982
disabled,0.7,0.8,30,0.739,0.5666666666666667,0.17233333333333334
disabled,0.8,0.9,65,0.8396923076923076,0.6615384615384615,0.1781538461538461
disabled,0.9,1.0,46,0.9232608695652174,0.8478260869565217,0.07543478260869563
